AFFGEOID,votes_D_Wht,votes_D_His,votes_D_Blk,votes_D_Asn,votes_D_Oth,votes_R_Wht,votes_R_His,votes_R_Blk,votes_R_Asn,votes_R_Oth,votes_O_Wht,votes_O_His,votes_O_Blk,votes_O_Asn,votes_O_Oth,votes_N_Wht,votes_N_His,votes_N_Blk,votes_N_Asn,votes_N_Oth,prob_D_Wht,prob_D_His,prob_D_Blk,prob_D_Asn,prob_D_Oth,prob_R_Wht,prob_R_His,prob_R_Blk,prob_R_Asn,prob_R_Oth,prob_O_Wht,prob_O_His,prob_O_Blk,prob_O_Asn,prob_O_Oth,prob_N_Wht,prob_N_His,prob_N_Blk,prob_N_Asn,prob_N_Oth
1500000US360010001001,94.36707665207022,21.616884344833814,150.37853867118255,5.397471509257809,16.122335922655587,25.48867543597254,3.484594194908248,2.9631344994304527,4.124254360268382,9.709632129420365,2.8897512945775325,0.0,0.0,0.3024609889502074,0.4713307648569648,147.25449661737952,29.913738779780694,142.41531113224875,5.175813141523596,38.696701183067084,0.3495076913039638,0.39303426081516024,0.5097577582073984,0.3598314339505206,0.24803593727162443,0.0944025016147131,0.06335625808924088,0.01004452372688289,0.2749502906845588,0.1493789558372364,0.01070278257250938,0.0,0.0,0.020164065930013828,0.007251242536260997,0.545387024508813,0.5438861596323763,0.48276376654999575,0.3450542094349064,0.5953338643548782
1500000US360010001002,65.71869802672778,62.60670298238547,186.67420193375938,1.612501355648925,5.593053801478478,11.10868975483521,7.456481561344985,29.76291514663133,0.9160378107061493,1.0635429264823346,0.29973470318333956,1.0954289797996166,2.7681811340711913,0.047295710001483075,0.271242570811977,87.87287751525378,53.84138647646997,235.79470178553808,1.6708914767678074,9.497924664970489,0.39829513955592594,0.5008536238590837,0.4102729712829876,0.40312533891223123,0.3728702534318985,0.06732539245354673,0.059651852490759875,0.06541300032226666,0.22900945267653733,0.07090286176548898,0.0018165739586869065,0.008763431838396934,0.006083914580376245,0.011823927500370769,0.0180828380541318,0.5325628940318411,0.4307310918117598,0.5182301138143695,0.41772286919195184,0.6331949776646992
1500000US360010002011,38.104146521389985,0.0,141.44696451320698,0.0,26.467168632716387,0.8046928270317613,0.0,5.640363130381877,0.0,6.2198811613715685,0.0,0.0,0.0,0.0,2.310990121569102,8.772502562,0.0,8.772502562,0.0,0.8031279901631432,0.6928026640252725,0.0,0.808268368646897,0.0,0.8822389544238796,0.014630778673304751,0.0,0.03223064645932501,0.0,0.20732937204571894,0.0,0.0,0.0,0.0,0.07703300405230341,0.15950004658181818,0.0,0.05012858606857143,0.0,0.026770933005438105
1500000US360010002012,12.014318739661192,64.00140910447654,230.9736665772824,26.235496945928368,33.893036632651416,6.446716981817102,0.0,23.43566917063527,3.20624411667139,1.4940653010831244,4.072628726907495,0.45449161823608686,6.073208583135092,0.20962510345753155,0.0,82.46633555161424,45.76040157766112,529.5174556689469,45.34863383394269,22.739024619834932,0.1144220832348685,0.5818309918588777,0.29237172984466125,0.34980662594571155,0.6162370296845712,0.061397304588734304,0.0,0.029665404013462366,0.042749921555618534,0.027164823656056807,0.03878694025626186,0.004131741983964426,0.007687605801436826,0.002795001379433754,0.0,0.7853936719201355,0.4160036507060102,0.6702752603404392,0.6046484511192359,0.41343681126972603
1500000US360010002013,99.71007561319485,0.0,88.12103936124792,6.209176184657494,33.32914609363696,7.412380618465857,0.0,11.255641185018733,1.195009321257709,0.6677287463251523,0.23662204393189604,0.0,4.902722790999928,0.19948590383035655,0.0,217.64092172440718,0.0,250.03681741635248,7.396328590254434,17.3193166968662,0.30680023265598416,0.0,0.24822827989083923,0.41394507897716626,0.6665829218727392,0.022807324979894943,0.0,0.03170603150709502,0.07966728808384728,0.013354574926503047,0.000728067827482757,0.0,0.013810486735211064,0.013299060255357103,0.0,0.6696643745366375,0.0,0.7043290631446548,0.49308857268362893,0.346386333937324
1500000US360010002021,16.10227523585418,0.0,332.8588695851542,0.0,9.027546675562668,1.8896671258773723,0.0,11.872054589866577,0.0,4.452760438673248,1.5372176467637424,0.0,2.3503452923089942,0.0,1.5011542618060518,45.47083999150474,0.0,867.9187305326698,0.0,15.018538623958007,0.24772731132083353,0.0,0.27395791735403635,0.0,0.3009182225187556,0.029071801936574958,0.0,0.0097712383455692,0.0,0.14842534795577492,0.02364950225790373,0.0,0.0019344405698016414,0.0,0.05003847539353506,0.6995513844846883,0.0,0.7143364037305924,0.0,0.5006179541319336
1500000US360010002022,27.07523387376006,40.40055042277119,135.6697178122398,0.0,0.0,0.8046066210965943,3.5536957745456066,12.077636884537908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.513612262461116,26.890148787464454,84.10299145657612,0.0,0.0,0.45125389789600096,0.5771507203253027,0.5898683383140861,0.0,0.0,0.013410110351609906,0.05076708249350866,0.052511464715382206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5918935377076853,0.38414498267806363,0.36566518024598316,0.0,0.0
1500000US360010003011,111.00238731829704,34.37478304266929,87.69571794554857,29.51329504889843,0.0,16.58348182487946,6.432265294751247,14.135226609706788,4.708922390066714,0.0,2.883629416944032,2.085442751423271,3.716864950904984,0.9353073409427266,0.0,459.5305014398795,127.10750891115619,344.4521904938395,119.84247522009206,0.0,0.18813963952253734,0.20220460613334879,0.19487937321233015,0.19040835515418342,0.0,0.028107596313355018,0.03783685467500733,0.031411614688237305,0.030380144452043317,0.0,0.004887507486345817,0.01226731030248983,0.008259699890899964,0.006034240909307913,0.0,0.7788652566777619,0.7476912288891541,0.7654493122085323,0.7731772594844649,0.0
1500000US360010003012,13.684777050870785,68.37530201330524,207.16417473021653,0.0,16.005254480399238,1.2598801494097924,14.846809779543486,32.456348438898964,0.0,1.2074326418863948,0.08600156822155239,2.414810023865972,8.187177693163713,0.0,0.7933121271130643,24.969341231497875,109.36307818328515,257.19229913772085,0.0,27.455767989148935,0.3421194262717696,0.35064257442720637,0.4102260885746862,0.0,0.40013136200998095,0.03149700373524481,0.07613748604894095,0.06426999690871082,0.0,0.03018581604715987,0.00215003920553881,0.012383641148030625,0.01621223305576973,0.0,0.019832803177826607,0.6242335307874469,0.5608362983758213,0.5092916814608334,0.0,0.6863941997287234
1500000US360010003021,402.60544806210197,43.131603996302246,32.63409702321354,5.70223956390762,0.0,144.60879502291,15.546682484748985,10.384211618179165,2.2018471327912317,0.0,8.533418706958853,0.032966328853566366,0.43571415798025104,0.0,0.0,504.25233820802947,61.288747190095215,41.545977200627036,12.517723545451766,0.0,0.37981646043594525,0.3594300333025187,0.38393055321427694,0.285111978195381,0.0,0.13642339153104716,0.1295556873729082,0.12216719550799018,0.11009235663956159,0.0,0.008050395006564955,0.00027471940711305305,0.005126048917414718,0.0,0.0,0.4757097530264429,0.5107395599174601,0.48877620236031805,0.6258861772725883,0.0
