AFFGEOID,D_Wht_prob,R_Wht_prob,O_Wht_prob,N_Wht_prob,D_His_prob,R_His_prob,O_His_prob,N_His_prob,D_Blk_prob,R_Blk_prob,O_Blk_prob,N_Blk_prob,D_Asn_prob,R_Asn_prob,O_Asn_prob,N_Asn_prob,D_Oth_prob,R_Oth_prob,O_Oth_prob,N_Oth_prob
1500000US360010001001,0.5124057689919107,0.05291980777255351,0.002578250172927102,0.4320961730626087,0.3998020486703773,0.040146246286135875,0.002303184569363314,0.5577485204741236,0.40056813302258587,0.040291798449259765,0.002303831222948441,0.5568362373052059,0.39920815179236474,0.040100644800123444,0.002295811831624898,0.558395391575887,0.26794007923763413,0.025765570321532736,0.0020623277836614514,0.7042320226571716
1500000US360010001002,0.5191116811288364,0.051427360371382486,0.0022542497071861246,0.4272067087925949,0.4110626552612096,0.03993042378970877,0.0020144564540276163,0.546992464495054,0.4129274855502634,0.040026884751008525,0.0020113634969637245,0.5450342662017644,0.40998107684103235,0.03988507951883542,0.0020092535234648243,0.5481245901166674,0.2772035642231675,0.025763290740134146,0.001811156585100533,0.6952219884515979
1500000US360010002011,0.8861353603557759,0.014509021011018843,0.00302895502969207,0.0963266636035134,0.8465709734316689,0.01389762662810393,0.0030968498410291995,0.13643455009919822,0.8510303925866921,0.01360169678741868,0.0030174154779068494,0.13235049514798217,0.8453851027118017,0.013921391180402023,0.0031050663937304667,0.13758843971406604,0.7569601605607177,0.011869347179228404,0.0036330407142368603,0.22753745154581714
1500000US360010002012,0.4101623907777648,0.026637496618742137,0.005665401757562277,0.5575347108459308,0.3250911468758072,0.02108960462902421,0.004773379304871199,0.6490458691902975,0.3293460479375328,0.02111538486231305,0.004763675057050235,0.6447748921431038,0.32302112089849944,0.02101382678592869,0.004761440105643752,0.6512036122099282,0.20749742531844872,0.012900118841691432,0.004017243041957173,0.7755852127979027
1500000US360010002013,0.3914754400067607,0.02535267418770243,0.005324962189622264,0.5778469236159146,0.3100037257654749,0.019770553877207803,0.004431910967687749,0.6657938093896295,0.310953945829806,0.01987401044603987,0.0044424212186824855,0.6647296225054716,0.3079865658400229,0.01969878074460501,0.004420395548530852,0.6678942578668413,0.19561227634752315,0.011976278211483461,0.0037082851047209246,0.7887031603362725
1500000US360010002021,0.35941823533641815,0.012748631280374978,0.002649827058771022,0.625183306324436,0.27318192835222305,0.009636306584473897,0.0021714516295161693,0.7150103134337868,0.2751365090696939,0.009672869271689057,0.002173488098352932,0.713017133560264,0.27142798237876214,0.00960032766685807,0.002164681251007615,0.7168070087033721,0.16790099882673964,0.005678348959666193,0.0017630736607527932,0.8246575785528414
1500000US360010002022,0.7002890479364645,0.032003486940609095,0.0026032488382499073,0.26510421628467645,0.6084926305147167,0.027330837896204527,0.0025062404201492846,0.3616702911689295,0.6122026669757636,0.027238190983095694,0.002488183045883859,0.35807095899525676,0.6064956343585783,0.027346473382579405,0.002507035143948752,0.3636508571148936,0.46096996704486326,0.019859557456483067,0.002528549087291142,0.5166419264113625
1500000US360010003011,0.2509467706902783,0.03162370285495878,0.004647462426005664,0.7127820640287572,0.19004610815804387,0.023834221672063827,0.003716470838058053,0.7824031993318342,0.19290293032642641,0.02392419974713805,0.0037191327593895677,0.7794537371670459,0.18826637251531694,0.02370870587736162,0.0037021505848970253,0.7843227710224243,0.11327577113522108,0.013575542757169937,0.0028912000394085736,0.8702574860682003
1500000US360010003012,0.4761584561501923,0.04750555741932477,0.008346256470568554,0.46798972995991445,0.3900716473556456,0.03855407111832307,0.007304631860972645,0.5640696496650586,0.3960855971600006,0.038463323094659885,0.007258322758896152,0.5581927569864433,0.3864815127008895,0.03843988406684855,0.007303826691173947,0.5677747765410879,0.2603679812090123,0.02468735629641006,0.006425156401601346,0.7085195060929763
1500000US360010003021,0.43730584539263173,0.11896311176178198,0.005343794723406061,0.4383872481221803,0.35298673515345047,0.09085970395859196,0.004749648367735263,0.5514039125202223,0.35459645627330494,0.09065189867118396,0.004747208092571535,0.5500044369629395,0.3514159942639819,0.09028786782503738,0.004736218182182824,0.553559919728798,0.23774040965217133,0.05824656418018789,0.004260487401674282,0.6997525387659665
